Kira,Allsobrook,7/10/1982,Corpus Christi,Texas,9/12/2005
Vinson,Aarons,1/25/1946,White Plains,New York,5/4/2006
Joachim,Abbatucci,4/20/1933,Jackson,Mississippi,10/17/2012
Gun,Abbe,10/29/1936,Sacramento,California,1/14/2001
Hall,Abbess,5/16/1972,San Bernardino,California,9/28/2015
Jolie,Abbiss,6/1/1957,Biloxi,Mississippi,11/20/2008
Livvyy,Abbitt,12/22/1996,Annapolis,Maryland,10/26/2005
Tammie,Abendroth,11/20/1980,Sacramento,California,4/1/2001
Thorny,Aberdein,8/16/1981,Oklahoma City,Oklahoma,5/29/2014
Ivette,Abisetti,7/5/1947,Topeka,Kansas,12/8/2013
Gert,Abrahams,12/14/1941,Fayetteville,North Carolina,1/19/2005
Violet,Abrami,4/24/1984,Charleston,West Virginia,4/18/2007
Wilma,Abramovitch,4/26/1935,South Bend,Indiana,1/25/2003
Romona,Ackerley,2/18/1979,Saint Louis,Missouri,6/28/2012
Whitney,Ackermann,11/4/1943,Midland,Texas,10/22/2011
Lesley,Ackhurst,10/12/1956,North Las Vegas,Nevada,2/13/2013
Harry,Ackwood,7/14/1937,Tampa,Florida,12/17/2001
Ariel,Acom,1/12/1963,Saint Louis,Missouri,9/7/2008
Connie,Acosta,4/2/1963,Punta Gorda,Florida,3/15/2003
Ulla,Acreman,7/22/1954,Los Angeles,California,12/5/2014
Alika,Adacot,8/11/1988,Los Angeles,California,8/20/2002
Wilone,Adamiak,8/11/1988,Columbus,Ohio,10/17/2016
Darrel,Adamini,1/7/1926,Raleigh,North Carolina,7/4/2004
Clifford,Adamou,1/4/1976,Hayward,California,2/26/2004
Urson,Adamovsky,1/10/1992,Peoria,Illinois,6/12/2010
Roger,Adcocks,6/29/1940,Kissimmee,Florida,8/18/2001
Ermengarde,Addams,5/28/1942,Omaha,Nebraska,5/18/2009
Britt,Addenbrooke,3/25/1932,Dallas,Texas,5/12/2003
Karilynn,Addis,9/19/1937,Arlington,Virginia,12/19/2004
Adlai,Adenot,2/20/1996,Columbus,Ohio,12/10/2003
Corella,Adkin,5/15/1927,Boston,Massachusetts,12/19/2016
Daisey,Adney,5/31/1987,Jacksonville,Florida,4/9/2013
Bernete,Adolphine,7/24/1922,Huntsville,Texas,1/12/2010
Janel,Adrienne,4/4/1940,Joliet,Illinois,11/26/2010
Esme,Affleck,12/7/1965,Las Vegas,Nevada,11/24/2005
Reese,A'field,2/7/1976,Burbank,California,8/21/2000
Kaia,Ager,9/5/1970,Mobile,Alabama,11/9/2016
Morganica,Aggas,8/17/1980,Nashville,Tennessee,11/24/2013
Robinette,Aggas,5/8/1996,Dayton,Ohio,8/24/2017
Kippie,Agge,1/3/1990,Saint Petersburg,Florida,9/27/2006
Roby,Agiolfinger,1/30/1974,Albuquerque,New Mexico,5/3/2010
Nomi,Aguirre,9/8/1930,Jamaica,New York,1/19/2000
Ulric,Ahmad,6/22/1985,Norwalk,Connecticut,6/26/2012
Michelina,Ahrendsen,9/24/1941,Miami,Florida,5/19/2007
Gerrie,Aikman,8/13/1941,San Diego,California,9/9/2011
Twila,Ainger,11/7/1940,Nashville,Tennessee,3/26/2006
Jefferson,Aireton,4/28/1972,Chattanooga,Tennessee,10/30/2007
Rene,Airey,5/11/1920,Amarillo,Texas,10/4/2002
Boy,Aish,7/20/1971,Riverside,California,6/15/2008
Kendal,Aishford,2/14/1962,Frederick,Maryland,2/27/2016
Ardelis,Aitchison,9/26/1933,Philadelphia,Pennsylvania,3/6/2017
Zackariah,Aitkin,3/9/1936,El Paso,Texas,4/16/2010
Marj,Aizikovich,4/28/1992,Omaha,Nebraska,2/10/2008
Anatola,Aizkovitch,9/6/1927,Brockton,Massachusetts,5/27/2017
Onofredo,Akeherst,9/2/1942,Denver,Colorado,5/17/2000
Christen,Akerman,8/29/1951,Charlotte,North Carolina,7/21/2016
Townsend,Akester,5/19/1965,Fayetteville,North Carolina,7/25/2000
Ozzy,Akitt,5/18/1928,North Hollywood,California,10/17/2009
Chase,Alchin,4/13/1953,Omaha,Nebraska,7/16/2002
Neala,Aldam,11/4/1940,New York City,New York,4/15/2015
Tye,Aldersea,10/1/1976,Anaheim,California,12/28/2000
Myrtia,Alderwick,7/18/1942,Hollywood,Florida,11/9/2003
Joelle,Aldington,9/1/1928,Olympia,Washington,9/28/2010
Thorny,Aldritt,6/27/1953,Harrisburg,Pennsylvania,3/5/2006
Maisie,Aldwich,5/15/1996,Colorado Springs,Colorado,10/29/2016
Cozmo,Alecock,5/29/1942,Cleveland,Ohio,9/20/2011
Bryna,Alenshev,12/16/1951,Providence,Rhode Island,9/10/2009
Allys,Aleveque,8/26/1978,Detroit,Michigan,1/8/2018
Teena,Alexandersen,12/26/1959,Chicago,Illinois,1/10/2006
Mariele,Alexandersen,12/21/1967,Louisville,Kentucky,2/3/2002
Ninon,Alflat,3/25/1921,Philadelphia,Pennsylvania,12/11/2015
Sullivan,Alfonsini,9/14/1928,Shawnee Mission,Kansas,5/1/2000
Arluene,Alfonsini,8/29/1989,Anchorage,Alaska,6/9/2006
Tymothy,Alfonzo,2/11/1964,New Orleans,Louisiana,12/19/2011
Jard,Alfuso,5/5/1956,Boulder,Colorado,6/25/2015
Gard,Alfwy,1/8/1966,Sioux Falls,South Dakota,5/22/2003
Eloisa,Aliman,8/25/1977,Fort Myers,Florida,1/6/2003
Noe,Aliman,5/28/1934,Newport News,Virginia,7/20/2013
Robinet,Allam,10/18/1941,Milwaukee,Wisconsin,8/18/2010
Stephan,Allam,1/7/1951,Atlanta,Georgia,5/6/2015
Pierette,Allanby,11/24/1931,Spring,Texas,7/28/2009
Colan,Allen,6/26/1921,Plano,Texas,1/25/2001
Caril,Allenby,3/29/1962,Fresno,California,4/2/2001
Gale,Allender,6/4/1945,Virginia Beach,Virginia,12/10/2013
Thibaud,Allenson,7/30/1937,Bismarck,North Dakota,7/24/2017
Winne,Alliker,9/19/1975,Saint Louis,Missouri,2/6/2000
Kaylee,Allingham,9/1/1933,Seattle,Washington,8/7/2000
Willa,Allinson,10/29/1975,Orlando,Florida,6/24/2002
Tiffie,Alliot,3/29/1969,Durham,North Carolina,8/19/2004
Cheston,Alliott,3/22/1922,Newark,New Jersey,8/31/2013
Ernesta,Allsup,10/13/1943,Vancouver,Washington,3/3/2008
Bette/ann,Alman,7/18/1941,Columbia,South Carolina,12/5/2016
Pammy,Alpe,10/14/1935,Silver Spring,Maryland,11/1/2012
Oberon,Alps,9/29/1930,Reno,Nevada,10/21/2014
Danella,Altofts,4/10/1994,Lynchburg,Virginia,5/8/2007
Eleanore,Altree,9/18/1947,Visalia,California,6/8/2004
Nariko,Alty,5/8/1984,El Paso,Texas,1/2/2005
Clair,Aluard,4/2/1951,Kansas City,Missouri,1/4/2005
Lindy,Alwin,5/24/1967,Fort Lauderdale,Florida,2/26/2008
Clyde,Alyutin,4/23/1929,Norwalk,Connecticut,10/3/2007
Thea,Ambage,9/4/1992,Scranton,Pennsylvania,11/25/2003
Esther,Ambler,11/11/1984,Boston,Massachusetts,8/11/2012
Kingsly,Ambrogini,11/1/1968,New York City,New York,4/20/2014
Adolphe,Ambrosch,6/4/1973,Erie,Pennsylvania,6/14/2015
Colver,Ambrosetti,4/23/1974,Miami,Florida,12/12/2010
Raleigh,Ambrus,5/29/1962,Los Angeles,California,8/27/2014
Cris,Amey,6/7/1945,Phoenix,Arizona,3/6/2000
Elicia,Amthor,7/27/1923,Fayetteville,North Carolina,8/5/2006
Bambie,Andersch,6/4/1994,Tucson,Arizona,3/7/2010
Nathalia,Andras,5/7/1991,Port Saint Lucie,Florida,7/5/2010
Cathee,Andreini,4/12/1948,Tulsa,Oklahoma,6/8/2007
Nonna,Andreix,7/15/1996,Ann Arbor,Michigan,3/24/2018
Lee,Andriesse,12/26/1953,Oakland,California,11/27/2003
Kalli,Andrivel,9/22/1924,Louisville,Kentucky,5/23/2016
Jerrilee,Anelay,2/7/1972,Dearborn,Michigan,11/15/2003
Tucker,Angier,6/26/1956,Jacksonville,Florida,5/26/2013
Mikol,Angliss,9/10/1997,Panama City,Florida,3/21/2010
Krisha,Angrock,2/12/1925,Fort Wayne,Indiana,7/31/2010
Alvinia,Anmore,8/27/1962,Honolulu,Hawaii,3/29/2002
Madella,Annesley,2/11/1932,Tulsa,Oklahoma,12/11/2011
Isahella,Annetts,12/13/1940,South Lake Tahoe,California,2/15/2009
Cristin,Anning,3/29/1924,Northridge,California,4/12/2004
Townie,Anslow,9/27/1982,Atlanta,Georgia,1/25/2007
Alleen,Anster,10/10/1954,Raleigh,North Carolina,3/14/2018
Raddie,Anthony,12/26/1970,Richmond,Virginia,11/1/2017
Guss,Antonellini,8/15/1977,Stockton,California,2/2/2013
Bernie,Antoney,5/11/1939,Erie,Pennsylvania,9/27/2000
Bride,Antonignetti,9/15/1926,Boise,Idaho,8/22/2003
Nathaniel,Antonomolii,6/15/1998,Naperville,Illinois,8/28/2005
Robbie,Antony,12/20/1996,Monroe,Louisiana,8/12/2004
Elaina,Antoons,6/1/1955,San Francisco,California,7/31/2011
Maurita,Antosch,11/28/1978,Idaho Falls,Idaho,2/16/2013
Roxanne,Antuk,1/21/1990,Houston,Texas,8/22/2005
Freeman,Antuk,4/1/1954,Atlanta,Georgia,6/21/2014
Valeda,Antunez,9/6/1998,Fort Wayne,Indiana,3/28/2012
Davy,Antyshev,12/8/1997,El Paso,Texas,3/24/2009
Burl,Anyene,6/2/1978,Los Angeles,California,11/26/2006
Laryssa,Anyon,11/20/1957,Arlington,Texas,7/29/2001
Erik,Aprahamian,4/9/1989,Albany,New York,3/12/2007
Roscoe,Arbuckle,11/6/1968,Amarillo,Texas,9/28/2004
Mallory,Archley,12/25/1988,Redwood City,California,12/27/2006
Marcellus,Ardern,10/7/1927,Las Cruces,New Mexico,7/17/2005
Maribelle,Arderne,7/12/1929,Beaumont,Texas,8/24/2009
Gisela,Ardy,9/13/1932,Port Washington,New York,10/7/2007
Wain,Arkcoll,7/24/1952,Chandler,Arizona,2/18/2004
Lorain,Arkin,3/13/1991,Oklahoma City,Oklahoma,8/22/2017
Addison,Arkin,3/10/1948,Madison,Wisconsin,6/13/2015
Renaud,Armal,11/3/1998,Chicago,Illinois,4/8/2011
Godfrey,Armistead,6/30/1932,Pittsburgh,Pennsylvania,9/17/2005
Read,Armstead,12/11/1962,Long Beach,California,7/12/2011
Kayla,Arnall,1/24/1987,Allentown,Pennsylvania,9/10/2001
Mohammed,Arnason,12/29/1946,Scottsdale,Arizona,7/11/2010
Osborne,Arnau,10/12/1929,San Francisco,California,7/20/2001
Ulysses,Arndt,9/14/1924,Richmond,Virginia,10/5/2012
Adah,Arnholdt,5/17/1980,Evansville,Indiana,1/23/2018
Niki,Arnke,9/27/1968,Akron,Ohio,12/9/2003
Pearla,Arnott,2/21/1987,San Jose,California,5/17/2000
Giuseppe,Aronoff,2/11/1974,Greensboro,North Carolina,2/20/2015
Archibald,Aronoff,11/7/1945,Fresno,California,3/1/2001
Kenon,Arp,5/15/1986,Saint Louis,Missouri,9/26/2006
Aldwin,Arrol,1/26/1935,Fort Myers,Florida,6/2/2006
Nichols,Artz,1/22/1930,Fresno,California,6/22/2016
Kira,Ary,10/25/1968,Baton Rouge,Louisiana,3/20/2010
Les,Ashcroft,12/19/1942,Hattiesburg,Mississippi,7/19/2001
Lewes,Ashment,2/10/1937,Shawnee Mission,Kansas,10/30/2005
Gratia,Ashwin,8/19/1924,Chattanooga,Tennessee,9/10/2016
Libbey,Asipenko,2/3/1936,Oklahoma City,Oklahoma,7/15/2011
Sibby,Askam,3/25/1931,Brooklyn,New York,2/4/2016
Kristel,Aslott,10/30/1956,Waterbury,Connecticut,9/25/2009
Honor,Aspinwall,8/15/1946,Springfield,Illinois,5/11/2007
Inessa,Aspital,8/2/1993,Knoxville,Tennessee,4/30/2016
Dieter,Assinder,11/5/1983,Arlington,Virginia,3/9/2001
Brinn,Assiter,12/10/1967,Dayton,Ohio,7/12/2010
Charlton,Asson,1/2/1957,Las Vegas,Nevada,11/26/2014
Donn,Assur,7/4/1984,Cleveland,Ohio,1/22/2010
Jo ann,Assur,10/11/1965,Denver,Colorado,12/28/2001
Samara,Astles,7/29/1953,Oklahoma City,Oklahoma,3/15/2016
Lesly,Attenbrough,6/20/1985,Rockford,Illinois,2/27/2008
Gare,Atterbury,3/5/1990,Youngstown,Ohio,5/26/2014
Terrel,Attride,4/2/1993,Atlanta,Georgia,10/1/2011
Issie,Attridge,5/4/1975,Amarillo,Texas,3/25/2005
Debi,Attril,5/29/1986,Portland,Oregon,12/17/2011
Twila,Attryde,8/13/1932,Dallas,Texas,3/29/2008
Nancee,Attyeo,1/3/1939,Orlando,Florida,7/15/2007
Jean,Atwood,4/3/1992,Des Moines,Iowa,9/27/2017
Carver,Aubray,3/7/1931,Charleston,West Virginia,3/2/2017
Tirrell,Audley,10/22/1978,Loretto,Minnesota,4/16/2001
Christin,Auger,1/23/1952,Northridge,California,11/21/2014
Cull,Aulds,3/3/1990,Buffalo,New York,12/8/2004
Valida,Aulton,4/13/1985,Jersey City,New Jersey,1/20/2012
Lewie,Austick,4/10/1996,Des Moines,Iowa,3/16/2001
Hugo,Auty,12/14/1970,Saint Louis,Missouri,3/17/2011
Rubina,Aviss,8/10/1979,Tacoma,Washington,4/1/2018
