Kira,Allsobrook,7.10.1982,Corpus Christi,Texas,9/12/2005
Vinson,Aarons,25-Jan-46,White Plains,New York,5/4/2006
Joachim,Abbatucci,20-Apr-33,Jackson,Mississippi,10/17/2012
Gun,Abbe,10/29/1936,Sacramento,California,1/14/2001
Hall,Abbess,5/16/1972,San Bernardino,California,28/09/2015
Jolie,Abbiss,6-Jan-57,Biloxi,Mississippi,11/20/2008
Livvyy,Abbitt,22-Dec-96,Annapolis,Maryland,10/26/2005
Tammie,Abendroth,20.11.1980,Sacramento,California,4/1/2001
Thorny,Aberdein,16-Aug-81,Oklahoma City,Oklahoma,5/29/2014
Ivette,Abisetti,7.5.1947,Topeka,Kansas,12/8/2013
Gert,Abrahams,12/14/1941,Fayetteville,North Carolina,1/19/2005
Violet,Abrami,24.4.1984,Charleston,West Virginia,18/4/2007
Wilma,Abramovitch,4/26/1935,South Bend,Indiana,1/25/2003
Romona,Ackerley,18-Feb-79,Saint Louis,Missouri,6/28/2012
Whitney,Ackermann,11-Apr-43,Midland,Texas,10/22/2011
Lesley,Ackhurst,10.12.1956,North Las Vegas,Nevada,13/2/2013
Harry,Ackwood,7/14/1937,Tampa,Florida,12/17/2001
Ariel,Acom,1-Dec-63,Saint Louis,Missouri,9/7/2008
Connie,Acosta,4/2/1963,Punta Gorda,Florida,15/03/2003
Ulla,Acreman,7/22/1954,Los Angeles,California,12/5/2014
Alika,Adacot,8/11/1988,Los Angeles,California,8/20/2002
Wilone,Adamiak,8.11.1988,Columbus,Ohio,17/10/2016
Darrel,Adamini,1.7.1926,Raleigh,North Carolina,7/4/2004
Clifford,Adamou,1/4/1976,Hayward,California,2/26/2004
Urson,Adamovsky,1/10/1992,Peoria,Illinois,6/12/2010
Roger,Adcocks,29.6.1940,Kissimmee,Florida,18/8/2001
Ermengarde,Addams,28.5.1942,Omaha,Nebraska,18/5/2009
Britt,Addenbrooke,3/25/1932,Dallas,Texas,5/12/2003
Karilynn,Addis,9/19/1937,Arlington,Virginia,12/19/2004
Adlai,Adenot,2/20/1996,Columbus,Ohio,12/10/2003
Corella,Adkin,15-May-27,Boston,Massachusetts,12/19/2016
Daisey,Adney,5/31/1987,Jacksonville,Florida,4/9/2013
Bernete,Adolphine,7/24/1922,Huntsville,Texas,1/12/2010
Janel,Adrienne,4-Apr-40,Joliet,Illinois,11/26/2010
Esme,Affleck,12-Jul-65,Las Vegas,Nevada,11/24/2005
Reese,A'field,2/7/1976,Burbank,California,21/08/2000
Kaia,Ager,9.5.1970,Mobile,Alabama,11/9/2016
Morganica,Aggas,8/17/1980,Nashville,Tennessee,11/24/2013
Robinette,Aggas,5/8/1996,Dayton,Ohio,8/24/2017
Kippie,Agge,1/3/1990,Saint Petersburg,Florida,9/27/2006
Roby,Agiolfinger,30.1.1974,Albuquerque,New Mexico,5/3/2010
Nomi,Aguirre,9.8.1930,Jamaica,New York,19/1/2000
Ulric,Ahmad,22-Jun-85,Norwalk,Connecticut,6/26/2012
Michelina,Ahrendsen,24-Sep-41,Miami,Florida,5/19/2007
Gerrie,Aikman,13-Aug-41,San Diego,California,9/9/2011
Twila,Ainger,11/7/1940,Nashville,Tennessee,3/26/2006
Jefferson,Aireton,4/28/1972,Chattanooga,Tennessee,10/30/2007
Rene,Airey,5/11/1920,Amarillo,Texas,10/4/2002
Boy,Aish,20.7.1971,Riverside,California,15/6/2008
Kendal,Aishford,14.2.1962,Frederick,Maryland,27/2/2016
Ardelis,Aitchison,9/26/1933,Philadelphia,Pennsylvania,3/6/2017
